player,team,age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun
Enrique Hernández,Los Angeles Dodgers,34,2,0,0,2,2,0,1,0,0,0,4,0,1.000,4,1.000,2.250,3.250,0,0,.---,.---,0,12,4,9,2,0,0,0,1.000,-.--,0,4.00
Cody Freeman,Texas Rangers,25,1,0,0,0,0,0,0,1,0,0,1,0,.500,2,.500,.500,1.000,0,0,.---,.---,0,7,2,1,0,2,0,0,1.000,-.--,0,-.--
Gabriel Gonzalez,Minnesota Twins,22,1,0,1,1,0,0,0,0,2,0,1,0,.500,2,.750,.500,1.250,0,0,.---,.---,0,18,4,1,0,0,0,0,.500,0.00,0,-.--
Jonah Cox,San Francisco Giants,24,7,0,2,3,1,0,1,3,0,0,4,0,.444,9,.444,.889,1.333,0,1,1.000,.000,0,27,9,8,1,5,0,0,.600,0.00,0,9.00
Lars Nootbaar,St. Louis Cardinals,28,2,1,2,2,1,0,1,1,1,1,3,0,.429,7,.500,1.000,1.500,0,0,.---,.---,0,30,8,7,3,6,0,0,.400,0.50,0,7.00
Michael Stefanic,Athletics,30,2,2,0,1,0,0,0,1,0,0,2,0,.400,5,.400,.400,.800,0,0,.---,.---,0,16,5,2,0,4,0,0,.500,2.00,0,-.--
Nelson Velázquez,St. Louis Cardinals,27,6,5,2,3,1,0,1,4,1,0,6,1,.353,17,.421,.588,1.009,0,0,.---,.---,0,62,19,10,4,11,0,0,.417,2.50,0,17.00
Wade Meckler,Los Angeles Angels,26,14,8,12,6,3,0,2,8,3,0,15,0,.349,43,.391,.558,.949,0,2,1.000,.000,0,148,46,24,10,9,0,0,.394,0.67,0,21.50
Brandon Marsh,Philadelphia Phillies,28,59,40,51,31,11,2,7,51,10,1,70,1,.335,209,.363,.507,.870,2,5,.714,.286,2,787,223,106,28,75,0,3,.409,0.78,0,29.86
José Azócar,Atlanta Braves,30,9,5,2,1,2,0,0,3,1,0,5,0,.333,15,.375,.467,.842,0,1,1.000,.000,0,62,16,7,0,8,0,0,.417,2.50,0,-.--
Tyler Black,Milwaukee Brewers,25,9,7,4,2,4,0,0,7,1,0,9,0,.333,27,.357,.481,.838,0,0,.---,.---,1,97,28,13,7,11,0,0,.450,1.75,0,-.--
Tyler Callihan,Pittsburgh Pirates,26,4,1,3,1,2,0,0,0,3,0,2,0,.333,6,.556,.667,1.223,0,1,1.000,.000,0,45,9,4,2,1,0,0,.333,0.33,0,-.--
Jordan Lawlar,Arizona Diamondbacks,23,6,2,4,3,1,0,1,6,1,0,6,1,.333,18,.400,.556,.956,0,1,1.000,.000,0,91,20,10,2,6,0,0,.455,0.50,0,18.00
Otto Lopez,Miami Marlins,27,64,70,58,35,15,2,5,44,10,0,84,4,.333,252,.363,.468,.831,3,10,.769,.231,5,970,270,118,26,83,0,4,.382,1.21,0,50.40
Nick Madrigal,Los Angeles Angels,29,8,6,6,1,1,0,0,2,0,0,7,1,.333,21,.364,.381,.745,1,0,.000,1.000,0,70,22,8,1,4,0,0,.368,1.00,0,-.--
Omar Martinez,Los Angeles Angels,24,5,0,1,0,0,0,0,1,0,0,1,0,.333,3,.333,.333,.666,0,0,.---,.---,0,12,3,1,0,2,0,0,.500,0.00,0,-.--
