league,team,wins,losses,win_pct,games_back,streak
Unknown,Rays,74,48,.607,-,L2
Unknown,Yankees,68,55,.553,6.5,L3
Unknown,Red Sox,66,57,.537,8.5,W1
Unknown,Blue Jays,61,64,.488,14.5,W2
Unknown,Orioles,60,63,.488,14.5,W2
Unknown,White Sox,64,58,.525,-,W2
Unknown,Tigers,60,63,.488,4.5,L2
Unknown,Twins,60,64,.484,5.0,L2
Unknown,Guardians,60,64,.484,5.0,W1
Unknown,Royals,50,74,.403,15.0,L1
Unknown,Astros,63,61,.508,-,L1
Unknown,Rangers,61,63,.492,2.0,W1
Unknown,Mariners,58,66,.468,5.0,W1
Unknown,Angels,49,75,.395,14.0,W1
Unknown,Athletics,48,75,.390,14.5,L1
Unknown,Braves,73,50,.593,-,L2
Unknown,Phillies,66,58,.532,7.5,W2
Unknown,Marlins,63,61,.508,10.5,W1
Unknown,Nationals,60,65,.480,14.0,L2
Unknown,Mets,55,69,.444,18.5,W2
Unknown,Brewers,76,48,.613,-,W1
Unknown,Cubs,72,52,.581,4.0,L1
Unknown,Cardinals,62,61,.504,13.5,W1
Unknown,Reds,59,63,.484,16.0,L1
Unknown,Pirates,60,65,.480,16.5,L1
Unknown,Dodgers,74,50,.597,-,L1
Unknown,D-backs,66,58,.532,8.0,W2
Unknown,Padres,66,58,.532,8.0,L1
Unknown,Giants,51,72,.415,22.5,W1
Unknown,Rockies,49,74,.398,24.5,L1
