game_pk,game_type,season,game_date,status,away_team,away_score,home_team,home_score,venue
823370,R,2026,2026-06-12T22:40:00Z,Final,Miami Marlins,8,Pittsburgh Pirates,3,PNC Park
822726,R,2026,2026-06-12T22:45:00Z,Final,Seattle Mariners,10,Washington Nationals,2,Nationals Park
824826,R,2026,2026-06-12T23:05:00Z,Final,San Diego Padres,3,Baltimore Orioles,7,Oriole Park at Camden Yards
824425,R,2026,2026-06-12T23:10:00Z,Final,Detroit Tigers,2,Cleveland Guardians,3,Progressive Field
824752,R,2026,2026-06-12T23:10:00Z,Final,Texas Rangers,1,Boston Red Sox,10,Fenway Park
824507,R,2026,2026-06-12T23:15:00Z,Final,Arizona Diamondbacks,5,Cincinnati Reds,2,Great American Ball Park
823617,R,2026,2026-06-12T23:15:00Z,Final,Atlanta Braves,5,New York Mets,7,Citi Field
822803,R,2026,2026-06-12T23:37:00Z,Final,New York Yankees,5,Toronto Blue Jays,8,Rogers Centre
824588,R,2026,2026-06-12T23:40:00Z,Final,Los Angeles Dodgers,2,Chicago White Sox,8,Rate Field
823778,R,2026,2026-06-12T23:40:00Z,Final,Philadelphia Phillies,0,Milwaukee Brewers,6,American Family Field
824102,R,2026,2026-06-13T00:10:00Z,Final,Houston Astros,10,Kansas City Royals,8,Kauffman Stadium
823695,R,2026,2026-06-13T00:10:00Z,Final,St. Louis Cardinals,8,Minnesota Twins,9,Target Field
824020,R,2026,2026-06-13T01:38:00Z,Final,Tampa Bay Rays,3,Los Angeles Angels,4,Angel Stadium
824997,R,2026,2026-06-13T02:05:00Z,Final,Colorado Rockies,4,Athletics,6,Las Vegas Ballpark
823211,R,2026,2026-06-13T02:15:00Z,Final,Chicago Cubs,5,San Francisco Giants,1,Oracle Park
