league,team,wins,losses,win_pct,games_back,streak
Unknown,Rays,56,38,.596,-,L1
Unknown,Yankees,54,42,.563,3.0,W4
Unknown,Red Sox,46,48,.489,10.0,W9
Unknown,Orioles,46,51,.474,11.5,W4
Unknown,Blue Jays,45,51,.469,12.0,L2
Unknown,White Sox,50,45,.526,-,W3
Unknown,Guardians,51,46,.526,-,W4
Unknown,Twins,48,49,.495,3.0,W2
Unknown,Tigers,44,52,.458,6.5,L2
Unknown,Royals,38,59,.392,13.0,L5
Unknown,Rangers,49,47,.510,-,W1
Unknown,Mariners,48,49,.495,1.5,W1
Unknown,Astros,47,51,.480,3.0,L1
Unknown,Athletics,41,55,.427,8.0,L9
Unknown,Angels,38,59,.392,11.5,L2
Unknown,Braves,55,40,.579,-,W1
Unknown,Phillies,54,44,.551,2.5,L1
Unknown,Marlins,52,45,.536,4.0,L3
Unknown,Nationals,48,49,.495,8.0,L3
Unknown,Mets,41,57,.418,15.5,W1
Unknown,Brewers,59,37,.615,-,L3
Unknown,Cubs,54,42,.563,5.0,W2
Unknown,Cardinals,50,45,.526,8.5,L1
Unknown,Pirates,50,47,.515,9.5,W3
Unknown,Reds,43,52,.453,15.5,L2
Unknown,Dodgers,61,36,.629,-,L3
Unknown,D-backs,49,47,.510,11.5,W4
Unknown,Padres,48,48,.500,12.5,W2
Unknown,Giants,41,55,.427,19.5,W2
Unknown,Rockies,39,59,.398,22.5,L2
