league,team,wins,losses,win_pct,games_back,streak
Unknown,Rays,79,54,.594,-,W1
Unknown,Yankees,75,57,.568,3.5,W1
Unknown,Red Sox,73,60,.549,6.0,L1
Unknown,Orioles,65,68,.489,14.0,W2
Unknown,Blue Jays,65,69,.485,14.5,W1
Unknown,White Sox,70,63,.526,-,W2
Unknown,Guardians,68,66,.507,2.5,W7
Unknown,Twins,64,70,.478,6.5,L2
Unknown,Tigers,62,71,.466,8.0,L1
Unknown,Royals,59,75,.440,11.5,L1
Unknown,Astros,66,67,.496,-,L1
Unknown,Rangers,66,68,.493,0.5,L2
Unknown,Mariners,64,70,.478,2.5,L1
Unknown,Athletics,53,81,.396,13.5,W2
Unknown,Angels,52,82,.388,14.5,L4
Unknown,Braves,78,55,.586,-,W3
Unknown,Phillies,74,60,.552,4.5,W1
Unknown,Marlins,68,66,.507,10.5,W1
Unknown,Nationals,62,73,.459,17.0,L2
Unknown,Mets,60,73,.451,18.0,L1
Unknown,Brewers,82,51,.617,-,W1
Unknown,Cubs,76,58,.567,6.5,L2
Unknown,Cardinals,66,68,.493,16.5,L5
Unknown,Pirates,65,70,.481,18.0,L1
Unknown,Reds,63,71,.470,19.5,W1
Unknown,Dodgers,80,53,.602,-,L2
Unknown,Padres,72,62,.537,8.5,W1
Unknown,D-backs,71,63,.530,9.5,W2
Unknown,Giants,54,79,.406,26.0,L1
Unknown,Rockies,52,81,.391,28.0,W2
