league,team,wins,losses,win_pct,games_back,streak
Unknown,Yankees,45,28,.616,-,L1
Unknown,Rays,41,30,.577,3.0,L3
Unknown,Blue Jays,37,38,.493,9.0,W3
Unknown,Orioles,35,41,.461,11.5,L1
Unknown,Red Sox,29,43,.403,15.5,L4
Unknown,White Sox,39,34,.534,-,W1
Unknown,Guardians,40,35,.533,-,W1
Unknown,Twins,36,40,.474,4.5,W4
Unknown,Royals,31,45,.408,9.5,W2
Unknown,Tigers,30,44,.405,9.5,L2
Unknown,Mariners,39,37,.513,-,W1
Unknown,Athletics,37,38,.493,1.5,W1
Unknown,Rangers,35,39,.473,3.0,L3
Unknown,Astros,35,41,.461,4.0,W2
Unknown,Angels,30,46,.395,9.0,L2
Unknown,Braves,46,27,.630,-,L3
Unknown,Phillies,40,35,.533,7.0,L2
Unknown,Nationals,39,36,.520,8.0,L1
Unknown,Marlins,37,38,.493,10.0,W1
Unknown,Mets,34,41,.453,13.0,W2
Unknown,Brewers,45,27,.625,-,L1
Unknown,Cardinals,40,33,.548,5.5,L2
Unknown,Cubs,39,36,.520,7.5,W1
Unknown,Pirates,38,37,.507,8.5,W2
Unknown,Reds,35,38,.479,10.5,L1
Unknown,Dodgers,48,27,.640,-,W3
Unknown,Padres,38,35,.521,9.0,W1
Unknown,D-backs,38,36,.514,9.5,W1
Unknown,Giants,31,43,.419,16.5,W3
Unknown,Rockies,28,47,.373,20.0,L1
