player,team,age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun
Enrique Hernández,Los Angeles Dodgers,34,2,0,0,2,2,0,1,0,0,0,4,0,1.000,4,1.000,2.250,3.250,0,0,.---,.---,0,12,4,9,2,0,0,0,1.000,-.--,0,4.00
Justin Dean,Chicago Cubs,29,3,1,0,1,0,1,0,0,0,0,2,0,.667,3,.667,1.333,2.000,0,0,.---,.---,0,10,3,4,3,2,0,0,.667,1.00,0,-.--
Rafael Flores Jr.,Pittsburgh Pirates,25,2,1,0,2,1,0,1,0,2,0,2,0,.667,3,.800,2.000,2.800,0,0,.---,.---,0,19,5,6,2,0,0,0,.500,1.00,0,3.00
Jair Camargo,Atlanta Braves,26,1,0,0,1,1,0,0,1,0,0,1,0,.500,2,.500,1.000,1.500,0,0,.---,.---,0,7,2,2,0,0,0,0,1.000,-.--,0,-.--
Gabriel Gonzalez,Minnesota Twins,22,1,0,1,1,0,0,0,0,2,0,1,0,.500,2,.750,.500,1.250,0,0,.---,.---,0,18,4,1,0,0,0,0,.500,0.00,0,-.--
Michael Stefanic,Athletics,30,2,2,0,1,0,0,0,1,0,0,2,0,.400,5,.400,.400,.800,0,0,.---,.---,0,16,5,2,0,4,0,0,.500,2.00,0,-.--
Samad Taylor,San Diego Padres,27,17,18,4,11,1,0,1,19,8,0,22,0,.361,61,.435,.426,.861,1,6,.857,.143,2,281,71,26,11,17,2,0,.512,4.50,0,61.00
Tommy Edman,Los Angeles Dodgers,31,8,5,6,0,1,0,0,5,3,0,9,0,.360,25,.429,.400,.829,0,0,.---,.---,1,114,28,10,1,9,0,0,.450,0.83,0,-.--
Andrew Vaughn,Milwaukee Brewers,28,41,31,31,16,12,1,2,14,16,1,39,2,.342,114,.429,.518,.947,0,0,.---,.---,2,499,133,59,24,63,0,1,.374,1.00,0,57.00
Otto Lopez,Miami Marlins,27,81,92,77,51,21,3,6,48,16,0,107,4,.335,319,.369,.476,.845,3,16,.842,.158,7,1243,344,152,35,115,0,5,.374,1.19,0,53.17
Yandy Díaz,Tampa Bay Rays,34,76,85,66,43,15,1,12,44,33,4,97,9,.334,290,.416,.517,.933,0,1,1.000,.000,9,1226,334,150,52,96,0,2,.360,1.29,0,24.17
José Azócar,Atlanta Braves,30,9,5,2,1,2,0,0,3,1,0,5,0,.333,15,.375,.467,.842,0,1,1.000,.000,0,62,16,7,0,8,0,0,.417,2.50,0,-.--
Tyler Black,Milwaukee Brewers,25,9,7,4,2,4,0,0,7,1,0,9,0,.333,27,.357,.481,.838,0,0,.---,.---,1,97,28,13,7,11,0,0,.450,1.75,0,-.--
Drew Cavanaugh,San Francisco Giants,24,1,1,0,0,0,0,0,1,1,0,1,0,.333,3,.500,.333,.833,0,0,.---,.---,0,19,4,1,0,0,0,0,.500,1.00,0,-.--
Tsung-Che Cheng,Boston Red Sox,24,1,1,1,0,1,0,0,0,1,0,1,0,.333,3,.500,.667,1.167,1,0,.000,1.000,0,14,4,2,1,3,0,0,.333,1.00,0,-.--
Ben Malgeri,Detroit Tigers,26,3,0,2,1,0,0,0,3,0,0,2,0,.333,6,.286,.333,.619,0,0,.---,.---,0,28,7,2,1,4,0,1,.500,0.00,0,-.--
Omar Martinez,Los Angeles Angels,24,5,0,1,0,0,0,0,1,0,0,1,0,.333,3,.333,.333,.666,0,0,.---,.---,0,12,3,1,0,2,0,0,.500,0.00,0,-.--
Luis Urías,Toronto Blue Jays,29,4,3,2,1,0,0,1,1,1,0,3,0,.333,9,.400,.667,1.067,0,0,.---,.---,0,42,10,6,2,3,0,0,.286,1.50,0,9.00
LaMonte Wade Jr.,Houston Astros,32,4,2,3,2,2,0,1,3,1,0,4,0,.333,12,.385,.750,1.135,0,0,.---,.---,0,56,13,9,4,6,0,0,.375,0.67,0,12.00
Donovan Walton,Los Angeles Angels,32,27,19,22,13,7,0,3,15,3,0,27,0,.329,82,.353,.524,.877,0,0,.---,.---,1,319,86,43,12,30,1,0,.375,0.86,0,27.33
Jung Hoo Lee,San Francisco Giants,27,73,77,86,41,19,3,5,27,13,0,91,3,.327,278,.360,.471,.831,0,5,1.000,.000,3,1102,297,131,30,74,0,3,.345,0.90,0,55.60
