player,team,age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun
Victor Mederos,Atlanta Braves,25,11,0,0,0,0,0,0,0,0,0,1,0,1.000,1,1.000,1.000,2.000,0,0,.---,.---,0,3,1,1,2,0,0,0,1.000,-.--,0,-.--
Brett Bateman,Toronto Blue Jays,24,1,1,0,1,1,0,0,0,2,0,1,0,.500,2,.750,1.000,1.750,0,0,.---,.---,0,13,4,2,0,0,0,0,.500,1.00,0,-.--
Jair Camargo,Atlanta Braves,26,1,0,0,1,1,0,0,1,0,0,1,0,.500,2,.500,1.000,1.500,0,0,.---,.---,0,7,2,2,0,0,0,0,1.000,-.--,0,-.--
Gabriel Gonzalez,Minnesota Twins,22,1,0,1,1,0,0,0,0,2,0,1,0,.500,2,.750,.500,1.250,0,0,.---,.---,0,18,4,1,0,0,0,0,.500,0.00,0,-.--
Andrew Pinckney,Washington Nationals,25,2,1,0,2,0,0,1,0,0,0,1,0,.500,2,.500,2.000,2.500,0,0,.---,.---,0,6,2,4,1,1,0,0,.000,1.00,0,2.00
Bryan De La Cruz,Philadelphia Phillies,29,11,3,6,4,1,0,2,5,2,0,9,2,.429,21,.481,.762,1.243,0,0,.---,.---,1,86,27,16,6,8,0,2,.438,0.50,0,10.50
Joshua Kuroda-Grauer,Athletics,23,16,19,9,8,7,0,1,7,1,0,25,1,.417,60,.435,.583,1.018,1,0,.000,1.000,3,226,62,35,4,18,0,0,.462,2.11,0,60.00
Michael Stefanic,Athletics,30,2,2,0,1,0,0,0,1,0,0,2,0,.400,5,.400,.400,.800,0,0,.---,.---,0,16,5,2,0,4,0,0,.500,2.00,0,-.--
Eduardo Valencia,Detroit Tigers,26,13,8,4,9,3,0,4,10,0,0,14,1,.389,36,.405,.806,1.211,0,0,.---,.---,2,144,37,29,11,18,0,0,.455,2.00,0,9.00
Angel Genao,Cleveland Guardians,22,3,4,3,2,0,0,0,1,0,0,5,0,.385,13,.385,.385,.770,0,0,.---,.---,0,38,13,5,1,3,0,0,.417,1.33,0,-.--
Justin Dean,Chicago Cubs,29,17,1,0,3,0,1,0,4,2,0,3,0,.375,8,.500,.625,1.125,0,1,1.000,.000,0,37,10,5,3,8,0,0,.750,1.00,0,-.--
Brewer Hicklen,Atlanta Braves,30,8,2,2,5,4,0,0,8,4,0,7,0,.368,19,.478,.579,1.057,0,0,.---,.---,0,92,23,11,3,10,0,0,.636,1.00,0,-.--
José Azócar,Atlanta Braves,30,11,5,2,2,2,0,0,4,1,0,6,0,.353,17,.389,.471,.860,0,1,1.000,.000,0,69,18,8,0,10,0,0,.462,2.50,0,-.--
