player,team,age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun
Enrique Hernández,Los Angeles Dodgers,34,2,0,0,2,2,0,1,0,0,0,4,0,1.000,4,1.000,2.250,3.250,0,0,.---,.---,0,12,4,9,2,0,0,0,1.000,-.--,0,4.00
Rafael Flores Jr.,Pittsburgh Pirates,25,2,1,0,2,1,0,1,0,2,0,2,0,.667,3,.800,2.000,2.800,0,0,.---,.---,0,19,5,6,2,0,0,0,.500,1.00,0,3.00
Gabriel Gonzalez,Minnesota Twins,22,1,0,1,1,0,0,0,0,2,0,1,0,.500,2,.750,.500,1.250,0,0,.---,.---,0,18,4,1,0,0,0,0,.500,0.00,0,-.--
Blaze Jordan,St. Louis Cardinals,23,2,2,0,2,0,1,1,2,0,0,4,0,.500,8,.500,1.125,1.625,0,0,.---,.---,1,35,8,9,4,2,0,0,.600,2.00,0,8.00
Nick Solak,San Diego Padres,31,1,0,2,0,0,0,0,0,0,0,1,0,.500,2,.333,.500,.833,0,0,.---,.---,0,6,3,1,1,1,0,1,.333,0.00,0,-.--
Will Wagner,San Diego Padres,27,4,2,0,0,1,0,0,2,4,0,4,0,.500,8,.667,.625,1.292,0,0,.---,.---,0,55,12,5,0,3,0,0,.667,2.00,0,-.--
Kameron Misner,Kansas City Royals,28,4,0,3,0,0,0,0,2,1,0,4,0,.444,9,.500,.444,.944,0,0,.---,.---,0,50,10,4,3,4,0,0,.571,0.00,0,-.--
Jonah Cox,San Francisco Giants,24,11,1,2,4,1,1,1,7,0,0,6,0,.400,15,.400,.800,1.200,0,1,1.000,.000,0,52,16,12,2,9,1,0,.714,0.50,0,15.00
Michael Stefanic,Athletics,30,2,2,0,1,0,0,0,1,0,0,2,0,.400,5,.400,.400,.800,0,0,.---,.---,0,16,5,2,0,4,0,0,.500,2.00,0,-.--
Samad Taylor,San Diego Padres,27,7,8,0,4,1,0,1,8,3,0,9,0,.375,24,.444,.542,.986,0,2,1.000,.000,1,118,28,13,8,9,1,0,.533,8.00,0,24.00
Andrew Vaughn,Milwaukee Brewers,28,31,26,23,14,9,1,2,10,10,0,34,2,.366,93,.438,.548,.986,0,0,.---,.---,2,389,105,51,18,51,0,0,.395,1.13,0,46.50
Jordan Lawlar,Arizona Diamondbacks,23,7,3,4,4,1,0,1,7,1,0,8,2,.364,22,.440,.545,.985,0,3,1.000,.000,0,107,25,12,4,10,0,0,.500,0.75,0,22.00
Nick Madrigal,Los Angeles Angels,29,12,8,11,7,1,0,0,2,5,0,12,1,.364,33,.462,.394,.856,1,1,.500,.500,0,157,39,13,2,6,0,0,.387,0.73,0,-.--
Tyler Callihan,Pittsburgh Pirates,26,10,1,6,6,2,1,2,6,6,0,7,0,.350,20,.500,.850,1.350,0,1,1.000,.000,0,111,26,17,6,5,0,0,.417,0.17,0,10.00
Nelson Velázquez,St. Louis Cardinals,27,10,6,4,5,1,0,2,7,1,0,9,1,.346,26,.393,.615,1.008,0,0,.---,.---,0,96,28,16,6,16,0,0,.412,1.50,0,13.00
Otto Lopez,Miami Marlins,27,70,80,61,43,18,3,5,45,11,0,96,4,.345,278,.374,.486,.860,3,13,.813,.188,6,1062,297,135,31,91,0,4,.392,1.31,0,55.60
José Azócar,Atlanta Braves,30,9,5,2,1,2,0,0,3,1,0,5,0,.333,15,.375,.467,.842,0,1,1.000,.000,0,62,16,7,0,8,0,0,.417,2.50,0,-.--
Tyler Black,Milwaukee Brewers,25,9,7,4,2,4,0,0,7,1,0,9,0,.333,27,.357,.481,.838,0,0,.---,.---,1,97,28,13,7,11,0,0,.450,1.75,0,-.--
Cody Freeman,Texas Rangers,25,2,0,0,0,0,0,0,4,0,0,2,0,.333,6,.333,.333,.666,0,0,.---,.---,0,25,6,2,0,5,0,0,1.000,-.--,0,-.--
Trey Mancini,Los Angeles Angels,34,4,4,3,1,0,1,0,2,0,0,4,0,.333,12,.308,.500,.808,0,0,.---,.---,1,46,13,6,4,5,0,1,.364,1.33,0,-.--
Omar Martinez,Los Angeles Angels,24,5,0,1,0,0,0,0,1,0,0,1,0,.333,3,.333,.333,.666,0,0,.---,.---,0,12,3,1,0,2,0,0,.500,0.00,0,-.--
Anthony Seigler,Boston Red Sox,27,2,0,1,0,1,0,0,1,1,0,1,0,.333,3,.500,.667,1.167,0,0,.---,.---,0,18,4,2,0,0,0,0,.500,0.00,0,-.--
Jose Siri,Los Angeles Angels,30,23,8,11,12,3,0,3,13,4,0,15,0,.333,45,.388,.600,.988,1,0,.000,1.000,2,190,51,27,12,18,2,0,.414,0.73,0,15.00
LaMonte Wade Jr.,Houston Astros,32,4,2,3,2,2,0,1,3,1,0,4,0,.333,12,.385,.750,1.135,0,0,.---,.---,0,56,13,9,4,6,0,0,.375,0.67,0,12.00
Jung Hoo Lee,San Francisco Giants,27,63,71,68,34,15,2,3,25,11,0,79,3,.328,241,.362,.444,.806,0,3,1.000,.000,3,945,257,107,24,61,0,2,.353,1.04,0,80.33
Brandon Marsh,Philadelphia Phillies,28,65,44,56,36,12,2,8,59,12,1,76,2,.328,232,.361,.500,.861,2,6,.750,.250,2,888,249,116,32,85,0,3,.405,0.79,0,29.00
Yordan Alvarez,Houston Astros,29,71,42,80,49,13,0,24,53,46,9,84,5,.327,257,.435,.658,1.093,0,1,1.000,.000,2,1217,310,169,54,90,0,2,.330,0.53,0,10.71
Yandy Díaz,Tampa Bay Rays,34,64,75,59,34,11,1,12,34,26,3,80,7,.325,246,.402,.524,.926,0,1,1.000,.000,8,1015,281,129,46,88,0,2,.337,1.27,0,20.50
Luis Arraez,San Francisco Giants,29,68,82,100,35,14,6,2,13,15,3,88,3,.324,272,.357,.441,.798,0,5,1.000,.000,4,1080,301,120,26,75,4,7,.326,0.82,0,136.00
Jackson Chourio,Milwaukee Brewers,22,34,25,37,26,11,0,8,40,12,0,47,0,.318,148,.366,.554,.920,0,5,1.000,.000,1,627,161,82,25,63,0,1,.386,0.68,0,18.50
Bryce Eldridge,San Francisco Giants,21,30,17,28,18,9,0,5,25,15,1,32,0,.317,101,.402,.554,.956,0,0,.---,.---,0,489,117,56,13,43,0,1,.375,0.61,0,20.20
Troy Johnston,Colorado Rockies,29,66,53,59,27,20,0,2,45,18,0,71,3,.316,225,.371,.431,.802,3,4,.571,.429,2,895,249,97,30,93,1,2,.383,0.90,0,112.50
Henry Bolte,Athletics,22,28,20,12,8,4,0,1,29,7,0,27,5,.310,87,.390,.391,.781,2,5,.714,.286,1,337,100,34,7,27,0,1,.448,1.67,0,87.00
Josh Jung,Texas Rangers,28,65,68,63,32,16,0,8,45,20,0,77,3,.307,251,.362,.466,.828,1,1,.500,.500,12,989,276,117,30,102,0,2,.345,1.08,0,31.38
Carlos Cortes,Athletics,29,56,51,44,16,9,1,6,17,21,0,49,3,.306,160,.395,.488,.883,0,1,1.000,.000,6,775,185,78,19,63,0,1,.312,1.16,0,26.67
Ernie Clement,Toronto Blue Jays,30,70,67,96,33,20,1,7,28,9,0,83,0,.305,272,.325,.463,.788,0,2,1.000,.000,5,848,283,126,28,106,0,2,.318,0.70,0,38.86
Wade Meckler,Los Angeles Angels,26,19,15,13,10,5,0,2,13,7,0,18,0,.305,59,.379,.492,.871,0,2,1.000,.000,0,218,66,29,12,18,0,0,.364,1.15,0,29.50
Shohei Ohtani,Los Angeles Dodgers,31,68,50,57,50,15,2,14,67,49,7,75,5,.305,246,.426,.553,.979,2,6,.750,.250,4,1182,304,136,41,91,0,3,.363,0.88,1,17.57
Drake Baldwin,Atlanta Braves,25,48,47,41,39,6,0,13,44,24,1,57,3,.303,188,.389,.543,.932,1,1,.500,.500,6,826,216,102,38,63,0,1,.333,1.15,0,14.46
Michael Harris II,Atlanta Braves,25,66,59,58,33,9,0,14,52,11,0,73,1,.303,241,.335,.515,.850,1,3,.750,.250,1,910,254,124,41,92,0,1,.335,1.02,0,17.21
Xavier Edwards,Miami Marlins,26,71,74,76,43,11,4,6,36,37,3,78,0,.300,260,.383,.442,.825,3,11,.786,.214,7,1155,301,115,24,96,1,3,.326,0.97,0,43.33
Yohendrick Piñango,Toronto Blue Jays,24,39,25,29,9,6,0,4,28,8,0,35,0,.299,117,.344,.453,.797,0,0,.---,.---,3,472,125,53,18,47,0,0,.365,0.86,0,29.25
Tristan Peters,Chicago White Sox,26,66,48,42,21,15,2,3,36,14,0,52,2,.299,174,.358,.460,.818,2,4,.667,.333,0,729,194,80,21,73,4,0,.363,1.14,0,58.00
Nathan Lukes,Toronto Blue Jays,31,37,35,25,13,6,0,1,22,6,0,34,4,.298,114,.352,.377,.729,1,0,.000,1.000,4,510,126,43,12,38,1,1,.359,1.40,0,114.00
Jordan Walker,St. Louis Cardinals,24,67,58,57,46,16,0,18,72,21,0,79,2,.298,265,.353,.562,.915,3,10,.769,.231,5,1043,289,149,56,126,0,1,.347,1.02,0,14.72
Daniel Susac,San Francisco Giants,25,29,19,22,5,5,1,0,20,6,0,25,2,.298,84,.355,.381,.736,1,0,.000,1.000,3,346,94,32,12,38,1,1,.385,0.86,0,-.--
Blaze Alexander,Baltimore Orioles,27,60,40,29,18,9,1,2,38,10,1,44,3,.297,148,.352,.412,.764,3,7,.700,.300,5,629,166,61,19,58,2,1,.385,1.38,2,74.00
Riley Greene,Detroit Tigers,25,71,42,56,36,16,0,8,84,37,0,76,2,.297,256,.387,.453,.840,1,1,.500,.500,7,1239,297,116,33,119,0,2,.410,0.75,0,32.00
Nick Gonzales,Pittsburgh Pirates,27,65,76,50,36,11,0,2,46,16,0,72,3,.296,243,.346,.366,.712,2,3,.600,.400,8,975,263,89,31,103,0,1,.357,1.52,0,121.50
Jake Mangum,Pittsburgh Pirates,30,51,48,24,19,5,0,1,27,10,1,40,2,.296,135,.351,.356,.707,2,13,.867,.133,3,542,151,48,10,70,3,1,.361,2.00,0,135.00
