league,team,wins,losses,win_pct,games_back,streak
Unknown,Rays,80,54,.597,-,W2
Unknown,Yankees,76,58,.567,4.0,W1
Unknown,Red Sox,73,61,.545,7.0,L2
Unknown,Orioles,66,69,.489,14.5,W1
Unknown,Blue Jays,66,70,.485,15.0,W1
Unknown,White Sox,71,63,.530,-,W3
Unknown,Guardians,68,67,.504,3.5,L1
Unknown,Twins,64,71,.474,7.5,L3
Unknown,Tigers,62,72,.463,9.0,L2
Unknown,Royals,61,75,.449,11.0,W2
Unknown,Astros,68,67,.504,-,W2
Unknown,Rangers,66,69,.489,2.0,L3
Unknown,Mariners,64,71,.474,4.0,L2
Unknown,Athletics,53,82,.393,15.0,L1
Unknown,Angels,52,83,.385,16.0,L5
Unknown,Braves,80,55,.593,-,W5
Unknown,Phillies,75,60,.556,5.0,W2
Unknown,Marlins,68,67,.504,12.0,L1
Unknown,Nationals,64,73,.467,17.0,W2
Unknown,Mets,60,75,.444,20.0,L3
Unknown,Brewers,84,51,.622,-,W3
Unknown,Cubs,76,59,.563,8.0,L3
Unknown,Cardinals,68,68,.500,16.5,W2
Unknown,Pirates,65,71,.478,19.5,L2
Unknown,Reds,64,71,.474,20.0,W2
Unknown,Dodgers,81,54,.600,-,W1
Unknown,Padres,72,63,.533,9.0,L1
Unknown,D-backs,72,64,.529,9.5,W1
Unknown,Giants,55,80,.407,26.0,L1
Unknown,Rockies,52,83,.385,29.0,L2
