league,team,wins,losses,win_pct,games_back,streak
Unknown,Rays,74,46,.617,-,W9
Unknown,Yankees,68,52,.567,6.0,W2
Unknown,Red Sox,64,56,.533,10.0,L5
Unknown,Blue Jays,59,63,.484,16.0,W3
Unknown,Orioles,58,63,.479,16.5,L1
Unknown,White Sox,62,57,.521,-,W1
Unknown,Twins,60,62,.492,3.5,W1
Unknown,Tigers,59,61,.492,3.5,L1
Unknown,Guardians,59,62,.488,4.0,W1
Unknown,Royals,49,73,.402,14.5,L4
Unknown,Astros,62,60,.508,-,W1
Unknown,Rangers,60,61,.496,1.5,L2
Unknown,Mariners,56,65,.463,5.5,L6
Unknown,Athletics,47,74,.388,14.5,L3
Unknown,Angels,47,74,.388,14.5,W2
Unknown,Braves,73,48,.603,-,W2
Unknown,Phillies,64,58,.525,9.5,L2
Unknown,Marlins,62,59,.512,11.0,W4
Unknown,Nationals,59,63,.484,14.5,L2
Unknown,Mets,53,69,.434,20.5,L2
Unknown,Brewers,74,47,.612,-,L3
Unknown,Cubs,71,50,.587,3.0,W3
Unknown,Cardinals,61,60,.504,13.0,W2
Unknown,Reds,57,62,.479,16.0,L1
Unknown,Pirates,58,64,.475,16.5,L3
Unknown,Dodgers,73,48,.603,-,W3
Unknown,Padres,65,57,.533,8.5,W5
Unknown,D-backs,64,58,.525,9.5,L2
Unknown,Giants,50,71,.413,23.0,L1
Unknown,Rockies,48,73,.397,25.0,W2
