league,team,wins,losses,win_pct,games_back,streak
Unknown,Rays,47,33,.588,-,W4
Unknown,Yankees,48,34,.585,-,L3
Unknown,Blue Jays,39,44,.470,9.5,L5
Unknown,Orioles,39,45,.464,10.0,L1
Unknown,Red Sox,35,46,.432,12.5,W3
Unknown,White Sox,43,38,.531,-,W2
Unknown,Guardians,43,40,.518,1.0,W1
Unknown,Twins,39,45,.464,5.5,L1
Unknown,Tigers,35,48,.422,9.0,L1
Unknown,Royals,34,50,.405,10.5,L4
Unknown,Mariners,42,42,.500,-,L1
Unknown,Rangers,41,42,.494,0.5,W3
Unknown,Astros,41,44,.482,1.5,W1
Unknown,Athletics,40,43,.482,1.5,L1
Unknown,Angels,35,49,.417,7.0,W1
Unknown,Braves,49,32,.605,-,L1
Unknown,Phillies,46,37,.554,4.0,L1
Unknown,Marlins,44,39,.530,6.0,W4
Unknown,Nationals,42,42,.500,8.5,W1
Unknown,Mets,35,48,.422,15.0,W1
Unknown,Brewers,50,30,.625,-,L1
Unknown,Cubs,45,38,.542,6.5,W1
Unknown,Cardinals,42,38,.525,8.0,L4
Unknown,Pirates,41,42,.494,10.5,L2
Unknown,Reds,39,42,.481,11.5,W2
Unknown,Dodgers,53,30,.639,-,W1
Unknown,Padres,43,38,.531,9.0,L1
Unknown,D-backs,41,41,.500,11.5,L2
Unknown,Giants,34,48,.415,18.5,W1
Unknown,Rockies,33,50,.398,20.0,W1
