game_pk,game_type,season,game_date,status,away_team,away_score,home_team,home_score,venue
823543,R,2026,2026-09-22T17:05:00Z,Final,Tampa Bay Rays,0.0,New York Yankees,2.0,Yankee Stadium
823494,R,2026,2026-09-22T23:05:00Z,Final,Tampa Bay Rays,6.0,New York Yankees,1.0,Yankee Stadium
824222,R,2026,2026-09-22T22:40:00Z,Final,Washington Nationals,3.0,Detroit Tigers,1.0,Comerica Park
823328,R,2026,2026-09-22T22:40:00Z,Final,St. Louis Cardinals,0.0,Pittsburgh Pirates,2.0,PNC Park
823412,R,2026,2026-09-22T22:40:00Z,Final,Milwaukee Brewers,4.0,Philadelphia Phillies,6.0,Citizens Bank Park
824709,R,2026,2026-09-22T22:45:00Z,Final,Cleveland Guardians,3.0,Boston Red Sox,2.0,Fenway Park
824867,R,2026,2026-09-22T23:15:00Z,Final,Cincinnati Reds,4.0,Atlanta Braves,0.0,Truist Park
824061,R,2026,2026-09-22T23:40:00Z,Final,Chicago White Sox,14.0,Kansas City Royals,11.0,Kauffman Stadium
824624,R,2026,2026-09-22T23:40:00Z,Final,Miami Marlins,8.0,Chicago Cubs,2.0,Wrigley Field
822840,R,2026,2026-09-23T00:05:00Z,Final,New York Mets,6.0,Texas Rangers,3.0,Globe Life Field
824302,R,2026,2026-09-23T00:40:00Z,Final,Arizona Diamondbacks,7.0,Colorado Rockies,2.0,Coors Field
824953,R,2026,2026-09-23T01:40:00Z,Final,Los Angeles Angels,7.0,Athletics,9.0,Sutter Health Park
823089,R,2026,2026-09-23T01:40:00Z,Final,Houston Astros,7.0,Seattle Mariners,0.0,T-Mobile Park
823166,R,2026,2026-09-23T01:45:00Z,Final,Minnesota Twins,3.0,San Francisco Giants,2.0,Oracle Park
823897,R,2026,2026-09-23T02:10:00Z,Final,San Diego Padres,0.0,Los Angeles Dodgers,7.0,UNIQLO Field at Dodger Stadium
824785,R,2026,2026-09-22T22:35:00Z,Postponed,Toronto Blue Jays,,Baltimore Orioles,,Oriole Park at Camden Yards
