league,team,wins,losses,win_pct,games_back,streak
Unknown,Yankees,47,31,.603,-,W1
Unknown,Rays,43,33,.566,3.0,L2
Unknown,Blue Jays,39,40,.494,8.5,L1
Unknown,Orioles,38,43,.469,10.5,L1
Unknown,Red Sox,32,45,.416,14.5,W1
Unknown,White Sox,41,37,.526,-,W2
Unknown,Guardians,41,39,.513,1.0,L3
Unknown,Twins,38,43,.469,4.5,L2
Unknown,Tigers,34,45,.430,7.5,L1
Unknown,Royals,34,46,.425,8.0,W2
Unknown,Mariners,41,39,.513,-,W2
Unknown,Athletics,38,41,.481,2.5,L3
Unknown,Rangers,38,41,.481,2.5,L1
Unknown,Astros,38,43,.469,3.5,W1
Unknown,Angels,33,48,.407,8.5,W1
Unknown,Braves,48,30,.615,-,L3
Unknown,Phillies,43,36,.544,5.5,W1
Unknown,Marlins,41,39,.513,8.0,W1
Unknown,Nationals,41,39,.513,8.0,L1
Unknown,Mets,34,44,.436,14.0,L3
Unknown,Brewers,48,29,.623,-,W3
Unknown,Cardinals,42,35,.545,6.0,L1
Unknown,Cubs,41,37,.526,7.5,W1
Unknown,Pirates,39,40,.494,10.0,L1
Unknown,Reds,37,41,.474,11.5,L2
Unknown,Dodgers,51,29,.638,-,W2
Unknown,Padres,41,37,.526,9.0,W2
Unknown,D-backs,40,39,.506,10.5,W1
Unknown,Giants,32,46,.410,18.0,W1
Unknown,Rockies,31,49,.388,20.0,L1
