league,team,wins,losses,win_pct,games_back,streak
Unknown,Rays,97,63,.606,-,W1
Unknown,Yankees,93,68,.578,4.5,W1
Unknown,Red Sox,87,74,.540,10.5,W2
Unknown,Orioles,79,82,.491,18.5,L1
Unknown,Blue Jays,78,82,.488,19.0,W1
Unknown,Guardians,84,76,.525,-,W2
Unknown,White Sox,83,77,.519,1.0,W2
Unknown,Twins,76,84,.475,8.0,W3
Unknown,Tigers,75,85,.469,9.0,W1
Unknown,Royals,68,92,.425,16.0,L2
Unknown,Astros,79,81,.494,-,L1
Unknown,Rangers,79,81,.494,-,L1
Unknown,Mariners,74,86,.463,5.0,L2
Unknown,Athletics,64,96,.400,15.0,W1
Unknown,Angels,62,98,.388,17.0,W2
Unknown,Braves,93,67,.581,-,L2
Unknown,Phillies,87,73,.544,6.0,L3
Unknown,Marlins,79,81,.494,14.0,W1
Unknown,Nationals,76,84,.475,17.0,W3
Unknown,Mets,73,87,.456,20.0,L2
Unknown,Brewers,101,59,.631,-,W3
Unknown,Cubs,88,73,.547,13.5,L2
Unknown,Pirates,81,79,.506,20.0,L1
Unknown,Cardinals,77,83,.481,24.0,L2
Unknown,Reds,74,86,.463,27.0,L1
Unknown,Dodgers,98,62,.613,-,W1
Unknown,Padres,89,71,.556,9.0,L1
Unknown,D-backs,86,74,.538,12.0,W6
Unknown,Giants,65,95,.406,33.0,L3
Unknown,Rockies,57,103,.356,41.0,L5
