game_pk,game_type,season,game_date,status,away_team,away_score,home_team,home_score,venue
824819,R,2026,2026-06-30T22:35:00Z,Final,Chicago White Sox,9,Baltimore Orioles,3,Oriole Park at Camden Yards
824418,R,2026,2026-06-30T22:40:00Z,Final,Texas Rangers,4,Cleveland Guardians,2,Progressive Field
823445,R,2026,2026-06-30T22:40:00Z,Final,Pittsburgh Pirates,0,Philadelphia Phillies,8,Citizens Bank Park
823528,R,2026,2026-06-30T23:05:00Z,Final,Detroit Tigers,9,New York Yankees,3,Yankee Stadium
822793,R,2026,2026-06-30T23:07:00Z,Final,New York Mets,3,Toronto Blue Jays,0,Rogers Centre
824742,R,2026,2026-06-30T23:10:00Z,Final,Washington Nationals,8,Boston Red Sox,1,Fenway Park
824907,R,2026,2026-06-30T23:15:00Z,Final,St. Louis Cardinals,5,Atlanta Braves,3,Truist Park
824096,R,2026,2026-06-30T23:40:00Z,Final,Tampa Bay Rays,10,Kansas City Royals,4,Kauffman Stadium
823768,R,2026,2026-06-30T23:40:00Z,Final,Cincinnati Reds,2,Milwaukee Brewers,7,American Family Field
824661,R,2026,2026-07-01T00:05:00Z,Final,San Diego Padres,7,Chicago Cubs,9,Wrigley Field
824175,R,2026,2026-07-01T00:10:00Z,Final,Minnesota Twins,4,Houston Astros,6,Daikin Park
824338,R,2026,2026-07-01T00:40:00Z,Final,Miami Marlins,14,Colorado Rockies,3,Coors Field
824984,R,2026,2026-07-01T01:40:00Z,Final,Los Angeles Dodgers,9,Athletics,3,Sutter Health Park
823122,R,2026,2026-07-01T01:40:00Z,Final,Los Angeles Angels,3,Seattle Mariners,8,T-Mobile Park
825066,R,2026,2026-07-01T01:40:00Z,Final,San Francisco Giants,2,Arizona Diamondbacks,8,Chase Field
