player,team,age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun
Enrique Hernández,Los Angeles Dodgers,34,2,0,0,2,2,0,1,0,0,0,4,0,1.000,4,1.000,2.250,3.250,0,0,.---,.---,0,12,4,9,2,0,0,0,1.000,-.--,0,4.00
Justin Dean,Chicago Cubs,29,4,1,0,1,0,1,0,0,0,0,2,0,.667,3,.667,1.333,2.000,0,0,.---,.---,0,10,3,4,3,2,0,0,.667,1.00,0,-.--
Rafael Flores Jr.,Pittsburgh Pirates,25,2,1,0,2,1,0,1,0,2,0,2,0,.667,3,.800,2.000,2.800,0,0,.---,.---,0,19,5,6,2,0,0,0,.500,1.00,0,3.00
Jair Camargo,Atlanta Braves,26,1,0,0,1,1,0,0,1,0,0,1,0,.500,2,.500,1.000,1.500,0,0,.---,.---,0,7,2,2,0,0,0,0,1.000,-.--,0,-.--
Gabriel Gonzalez,Minnesota Twins,22,1,0,1,1,0,0,0,0,2,0,1,0,.500,2,.750,.500,1.250,0,0,.---,.---,0,18,4,1,0,0,0,0,.500,0.00,0,-.--
Michael Stefanic,Athletics,30,2,2,0,1,0,0,0,1,0,0,2,0,.400,5,.400,.400,.800,0,0,.---,.---,0,16,5,2,0,4,0,0,.500,2.00,0,-.--
Tommy Edman,Los Angeles Dodgers,31,9,6,7,1,2,1,0,5,4,0,11,0,.379,29,.455,.517,.972,0,0,.---,.---,1,127,33,15,4,11,0,0,.458,0.86,0,-.--
Samad Taylor,San Diego Padres,27,18,20,5,12,1,0,1,19,10,0,22,0,.344,64,.432,.406,.838,1,6,.857,.143,2,299,76,26,11,17,2,0,.477,4.00,0,64.00
Otto Lopez,Miami Marlins,27,82,95,77,52,21,4,6,48,16,0,109,4,.336,324,.370,.481,.851,3,16,.842,.158,8,1259,349,156,36,118,0,5,.375,1.23,0,54.00
Yandy Díaz,Tampa Bay Rays,34,77,86,66,44,15,1,12,45,34,4,98,9,.334,293,.417,.515,.932,0,1,1.000,.000,9,1243,338,151,52,96,0,2,.361,1.30,0,24.42
José Azócar,Atlanta Braves,30,9,5,2,1,2,0,0,3,1,0,5,0,.333,15,.375,.467,.842,0,1,1.000,.000,0,62,16,7,0,8,0,0,.417,2.50,0,-.--
Tyler Black,Milwaukee Brewers,25,9,7,4,2,4,0,0,7,1,0,9,0,.333,27,.357,.481,.838,0,0,.---,.---,1,97,28,13,7,11,0,0,.450,1.75,0,-.--
Ben Malgeri,Detroit Tigers,26,3,0,2,1,0,0,0,3,0,0,2,0,.333,6,.286,.333,.619,0,0,.---,.---,0,28,7,2,1,4,0,1,.500,0.00,0,-.--
Omar Martinez,Los Angeles Angels,24,5,0,1,0,0,0,0,1,0,0,1,0,.333,3,.333,.333,.666,0,0,.---,.---,0,12,3,1,0,2,0,0,.500,0.00,0,-.--
Anthony Seigler,Boston Red Sox,27,10,8,5,5,3,0,1,7,3,0,10,0,.333,30,.394,.533,.927,0,0,.---,.---,0,104,33,16,2,10,0,0,.409,1.60,0,30.00
Andrew Vaughn,Milwaukee Brewers,28,42,32,33,16,12,1,2,14,16,1,39,2,.333,117,.419,.504,.923,0,0,.---,.---,2,512,136,59,24,63,0,1,.363,0.97,0,58.50
LaMonte Wade Jr.,Houston Astros,32,4,2,3,2,2,0,1,3,1,0,4,0,.333,12,.385,.750,1.135,0,0,.---,.---,0,56,13,9,4,6,0,0,.375,0.67,0,12.00
Jung Hoo Lee,San Francisco Giants,27,74,78,87,41,19,3,5,29,13,0,91,3,.323,282,.355,.465,.820,0,5,1.000,.000,3,1120,301,131,30,76,0,3,.343,0.90,0,56.40
Luis Arraez,San Francisco Giants,29,77,93,115,41,17,6,3,13,19,3,98,3,.320,306,.358,.444,.802,0,6,1.000,.000,5,1256,341,136,30,85,6,7,.320,0.81,0,102.00
Jonah Cox,San Francisco Giants,24,18,2,3,5,1,1,1,12,0,0,7,0,.318,22,.318,.591,.909,0,2,1.000,.000,0,82,24,13,2,10,2,0,.667,0.67,0,22.00
Brandon Marsh,Philadelphia Phillies,28,78,52,68,46,14,2,12,78,14,1,91,2,.318,286,.351,.507,.858,3,8,.727,.273,2,1102,305,145,41,107,0,3,.397,0.76,0,23.83
