player,team,age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun
Charlie Culberson,Atlanta Braves,34,1,0,0,0,0,0,0,0,0,0,1,0,1.000,1,1.000,1.000,2.000,0,0,.---,.---,0,4,1,1,0,0,0,0,1.000,-.--,0,-.--
Zack Collins,Cleveland Guardians,28,2,0,0,0,0,0,0,2,2,0,2,0,.500,4,.667,.500,1.167,0,0,.---,.---,0,27,6,2,0,0,0,0,1.000,-.--,0,-.--
Alejo Lopez,Cincinnati Reds,27,1,0,0,1,1,0,0,1,0,0,1,0,.500,2,.500,1.000,1.500,0,0,.---,.---,0,6,2,2,1,0,0,0,1.000,-.--,0,-.--
Michael Pérez,New York Mets,30,3,2,1,1,1,0,0,1,0,0,4,0,.500,8,.500,.625,1.125,0,0,.---,.---,0,32,8,5,0,1,0,0,.571,2.00,0,-.--
Cole Tucker,Colorado Rockies,26,5,1,1,2,0,0,0,2,1,0,4,1,.500,8,.600,.500,1.100,0,0,.---,.---,0,42,10,4,2,1,0,0,.667,1.00,0,-.--
Forrest Wall,Atlanta Braves,27,15,1,2,6,2,0,1,4,2,0,6,0,.462,13,.533,.846,1.379,1,5,.833,.167,0,71,15,11,2,3,0,0,.625,0.50,0,13.00
Abraham Toro,Milwaukee Brewers,26,9,4,1,4,0,0,2,5,2,0,8,1,.444,18,.524,.778,1.302,0,0,.---,.---,0,69,21,14,9,5,0,0,.545,4.00,0,9.00
Jeter Downs,Washington Nationals,24,6,1,1,4,0,0,0,1,4,0,2,0,.400,5,.667,.400,1.067,0,2,1.000,.000,0,43,9,2,1,0,0,0,.500,1.00,0,-.--
Tristan Gray,Tampa Bay Rays,27,2,1,2,1,0,0,1,0,0,0,2,0,.400,5,.400,1.000,1.400,0,0,.---,.---,0,21,5,5,1,1,0,0,.250,0.50,0,5.00
Ernie Clement,Toronto Blue Jays,27,30,10,18,7,1,1,1,4,1,0,19,0,.380,50,.385,.500,.885,0,1,1.000,.000,0,155,52,25,10,16,0,1,.391,0.56,0,50.00
Luis Arraez,Miami Marlins,26,147,174,167,71,30,3,10,34,35,10,203,4,.354,574,.393,.469,.862,2,3,.600,.400,18,2161,617,269,69,159,1,3,.362,1.04,0,57.40
Ronald Acuña Jr.,Atlanta Braves,25,159,193,152,149,35,4,41,84,80,3,217,9,.337,643,.416,.596,1.012,14,73,.839,.161,15,2782,735,383,106,186,0,3,.338,1.27,0,15.68
Drew Maggi,Pittsburgh Pirates,34,3,1,2,1,1,0,0,1,0,0,2,0,.333,6,.333,.500,.833,0,0,.---,.---,0,25,6,3,1,1,0,0,.400,0.50,0,-.--
Freddie Freeman,Los Angeles Dodgers,33,161,148,162,131,59,2,29,121,72,12,211,16,.331,637,.410,.567,.977,1,23,.958,.042,14,2753,730,361,102,237,0,5,.370,0.91,0,21.97
