game_pk,game_type,season,game_date,status,away_team,away_score,home_team,home_score,venue
823326,R,2026,2026-09-24T16:35:00Z,Final,St. Louis Cardinals,1,Pittsburgh Pirates,2,PNC Park
824059,R,2026,2026-09-24T18:10:00Z,Final,Chicago White Sox,9,Kansas City Royals,1,Kauffman Stadium
824623,R,2026,2026-09-24T18:20:00Z,Final,Miami Marlins,1,Chicago Cubs,2,Wrigley Field
822842,R,2026,2026-09-24T18:35:00Z,Final,New York Mets,1,Texas Rangers,3,Globe Life Field
824298,R,2026,2026-09-24T19:10:00Z,Final,Arizona Diamondbacks,12,Colorado Rockies,8,Coors Field
823411,R,2026,2026-09-24T22:05:00Z,Final,Milwaukee Brewers,5,Philadelphia Phillies,1,Citizens Bank Park
824707,R,2026,2026-09-24T22:45:00Z,Final,Cleveland Guardians,1,Boston Red Sox,0,Fenway Park
823493,R,2026,2026-09-24T23:05:00Z,Final,Tampa Bay Rays,4,New York Yankees,6,Yankee Stadium
824866,R,2026,2026-09-24T23:15:00Z,Final,Cincinnati Reds,7,Atlanta Braves,6,Truist Park
824950,R,2026,2026-09-25T01:40:00Z,Final,Houston Astros,7,Athletics,5,Sutter Health Park
823087,R,2026,2026-09-25T01:40:00Z,Final,Los Angeles Angels,6,Seattle Mariners,4,T-Mobile Park
823895,R,2026,2026-09-25T02:10:00Z,Final,San Diego Padres,4,Los Angeles Dodgers,2,UNIQLO Field at Dodger Stadium
