player,team,age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun
Enrique Hernández,Los Angeles Dodgers,34,2,0,0,2,2,0,1,0,0,0,4,0,1.000,4,1.000,2.250,3.250,0,0,.---,.---,0,12,4,9,2,0,0,0,1.000,-.--,0,4.00
Trey Mancini,Los Angeles Angels,34,1,1,0,1,0,0,0,0,0,0,3,0,.750,4,.750,.750,1.500,0,0,.---,.---,1,16,4,3,1,1,0,0,.750,1.00,0,-.--
Cody Freeman,Texas Rangers,25,1,0,0,0,0,0,0,1,0,0,1,0,.500,2,.500,.500,1.000,0,0,.---,.---,0,7,2,1,0,2,0,0,1.000,-.--,0,-.--
Gabriel Gonzalez,Minnesota Twins,22,1,0,1,1,0,0,0,0,2,0,1,0,.500,2,.750,.500,1.250,0,0,.---,.---,0,18,4,1,0,0,0,0,.500,0.00,0,-.--
Jonah Cox,San Francisco Giants,24,9,1,2,4,1,0,1,4,0,0,4,0,.400,10,.400,.800,1.200,0,1,1.000,.000,0,33,11,8,2,5,1,0,.600,0.50,0,10.00
Michael Stefanic,Athletics,30,2,2,0,1,0,0,0,1,0,0,2,0,.400,5,.400,.400,.800,0,0,.---,.---,0,16,5,2,0,4,0,0,.500,2.00,0,-.--
Nelson Velázquez,St. Louis Cardinals,27,7,5,2,4,1,0,1,4,1,0,7,1,.389,18,.450,.611,1.061,0,0,.---,.---,0,67,20,11,4,11,0,0,.462,2.50,0,18.00
Jose Siri,Los Angeles Angels,30,19,5,6,11,3,0,2,10,2,0,12,0,.375,32,.412,.656,1.068,1,0,.000,1.000,2,134,35,21,9,15,1,0,.500,0.83,0,16.00
Samad Taylor,San Diego Padres,27,3,2,0,3,0,0,0,3,2,0,3,0,.375,8,.500,.375,.875,0,1,1.000,.000,0,42,10,3,3,2,0,0,.600,2.00,0,-.--
Andrew Vaughn,Milwaukee Brewers,28,27,25,21,14,9,1,2,10,6,0,32,2,.364,88,.417,.557,.974,0,0,.---,.---,2,347,96,49,17,49,0,0,.395,1.19,0,44.00
Nick Madrigal,Los Angeles Angels,29,10,7,8,5,1,0,0,2,4,0,9,1,.346,26,.452,.385,.837,1,0,.000,1.000,0,120,31,10,1,4,0,0,.375,0.88,0,-.--
Otto Lopez,Miami Marlins,27,65,72,58,36,16,3,5,44,10,0,86,4,.336,256,.365,.480,.845,3,10,.769,.231,5,981,274,123,27,83,0,4,.384,1.24,0,51.20
José Azócar,Atlanta Braves,30,9,5,2,1,2,0,0,3,1,0,5,0,.333,15,.375,.467,.842,0,1,1.000,.000,0,62,16,7,0,8,0,0,.417,2.50,0,-.--
Tyler Black,Milwaukee Brewers,25,9,7,4,2,4,0,0,7,1,0,9,0,.333,27,.357,.481,.838,0,0,.---,.---,1,97,28,13,7,11,0,0,.450,1.75,0,-.--
Jordan Lawlar,Arizona Diamondbacks,23,6,2,4,3,1,0,1,6,1,0,6,1,.333,18,.400,.556,.956,0,1,1.000,.000,0,91,20,10,2,6,0,0,.455,0.50,0,18.00
Jung Hoo Lee,San Francisco Giants,27,59,64,64,32,14,2,3,24,10,0,75,3,.333,225,.367,.453,.820,0,2,1.000,.000,3,873,240,102,22,57,0,2,.360,1.00,0,75.00
