league,team,wins,losses,win_pct,games_back,streak
Unknown,Rays,50,33,.602,-,W7
Unknown,Yankees,48,38,.558,3.5,L7
Unknown,Blue Jays,41,46,.471,11.0,W1
Unknown,Orioles,40,48,.455,12.5,W1
Unknown,Red Sox,37,48,.435,14.0,L2
Unknown,White Sox,45,40,.529,-,L1
Unknown,Guardians,45,42,.517,1.0,W1
Unknown,Twins,42,46,.477,4.5,W1
Unknown,Tigers,38,49,.437,8.0,W3
Unknown,Royals,35,52,.402,11.0,L2
Unknown,Rangers,44,43,.506,-,L1
Unknown,Mariners,44,43,.506,-,W2
Unknown,Astros,43,46,.483,2.0,L1
Unknown,Athletics,41,46,.471,3.0,W1
Unknown,Angels,36,51,.414,8.0,L2
Unknown,Braves,50,34,.595,-,W1
Unknown,Phillies,49,38,.563,2.5,W2
Unknown,Marlins,46,41,.529,5.5,L1
Unknown,Nationals,45,43,.511,7.0,W2
Unknown,Mets,36,51,.414,15.5,L1
Unknown,Brewers,53,31,.631,-,W3
Unknown,Cubs,49,38,.563,5.5,W5
Unknown,Cardinals,44,39,.530,8.5,L1
Unknown,Pirates,43,44,.494,11.5,L2
Unknown,Reds,39,46,.459,14.5,L4
Unknown,Dodgers,56,31,.644,-,L1
Unknown,Padres,43,42,.506,12.0,L5
Unknown,D-backs,43,43,.500,12.5,L1
Unknown,Giants,36,50,.419,19.5,W1
Unknown,Rockies,34,53,.391,22.0,W1
